shipment_id,warehouse,dest_city,dest_state,weight_lbs,freight_class,pickup_date,delivery_due,mode,region,zone_id,cluster_id,truck_id,assigned_mode,truck_weight,n_stops,distance_miles,tl_cost,ltl_cost_ind,plan_cost
SHP0020,CHICAGO_IL,Oklahoma City,OK,5000,85,2023-10-03,2023-10-05,OPTIONAL,South Central,2,Z2_C005,TRK-008,TL,27000.0,2,692.5,3019.42,1600.0,1509.71
SHP0021,CHICAGO_IL,Denver,CO,8500,65,2023-10-02,2023-10-05,OPTIONAL,Mountain,6,Z6_C014,TRK-018,TL,22500.0,1,918.3,3134.48,3291.2,1567.24
SHP0022,CHICAGO_IL,Denver,CO,14000,70,2023-10-03,2023-10-06,OPTIONAL,Mountain,6,Z6_C014,TRK-018,TL,22500.0,1,918.3,3134.48,5728.8,1567.24
SHP0023,CHICAGO_IL,Phoenix,AZ,19000,85,2023-10-02,2023-10-06,MUST_TL,Mountain,0,Z0_C000,TRK-002,TL,40500.0,3,1451.8,6443.3,10640.0,1610.82
SHP0024,CHICAGO_IL,Las Vegas,NV,6500,100,2023-10-03,2023-10-07,OPTIONAL,Mountain,0,Z0_C000,TRK-002,TL,40500.0,3,1521.3,6443.3,4004.0,1610.82
SHP0025,CHICAGO_IL,Los Angeles,CA,35000,50,2023-10-02,2023-10-06,MUST_TL,Pacific,0,Z0_C000,TRK-001,TL,35000.0,1,1742.4,5812.8,15680.0,5812.8
SHP0026,CHICAGO_IL,Los Angeles,CA,9000,70,2023-10-03,2023-10-07,OPTIONAL,Pacific,0,Z0_C000,TRK-002,TL,40500.0,3,1742.4,6443.3,4687.2,1610.82
SHP0027,CHICAGO_IL,San Francisco,CA,25000,65,2023-10-03,2023-10-07,MUST_TL,Pacific,0,Z0_C001,TRK-003,TL,25000.0,1,1854.9,6178.42,12320.0,6178.42
SHP0028,CHICAGO_IL,Seattle,WA,28000,50,2023-10-02,2023-10-07,MUST_TL,Pacific,5,Z5_C012,TRK-016,TL,40000.0,1,1733.0,5782.25,12544.0,2891.12
SHP0029,CHICAGO_IL,Seattle,WA,12000,85,2023-10-03,2023-10-08,OPTIONAL,Pacific,5,Z5_C012,TRK-016,TL,40000.0,1,1733.0,5782.25,6720.0,2891.12
SHP0030,CHICAGO_IL,Portland,OR,10000,85,2023-10-03,2023-10-08,OPTIONAL,Pacific,5,Z5_C013,LTL,LTL,0.0,0,1754.6,0.0,5600.0,5600.0
SHP0031,CHICAGO_IL,Minneapolis,MN,11000,65,2023-10-02,2023-10-04,OPTIONAL,Midwest,7,Z7_C015,TRK-019,TL,17000.0,2,354.6,2640.48,3097.6,1320.24
SHP0032,CHICAGO_IL,Detroit,MI,7500,70,2023-10-02,2023-10-03,OPTIONAL,Midwest,1,Z1_C003,TRK-006,TL,35500.0,3,237.0,1624.2,1534.5,406.05
SHP0033,CHICAGO_IL,Detroit,MI,6000,85,2023-10-03,2023-10-04,OPTIONAL,Midwest,1,Z1_C003,TRK-006,TL,35500.0,3,237.0,1624.2,1320.0,406.05
SHP0034,CHICAGO_IL,Cleveland,OH,8500,65,2023-10-03,2023-10-04,OPTIONAL,Midwest,1,Z1_C003,TRK-006,TL,35500.0,3,307.3,1624.2,2393.6,406.05
SHP0035,CHICAGO_IL,St. Louis,MO,5500,70,2023-10-02,2023-10-03,OPTIONAL,Midwest,7,Z7_C016,TRK-020,TL,13500.0,2,262.3,1783.78,1125.3,891.89
SHP0036,CHICAGO_IL,Kansas City,MO,6000,70,2023-10-02,2023-10-04,OPTIONAL,Midwest,7,Z7_C015,TRK-019,TL,17000.0,2,412.4,2640.48,1785.6,1320.24
SHP0037,CHICAGO_IL,Columbus,OH,13500,70,2023-10-02,2023-10-04,OPTIONAL,Midwest,1,Z1_C003,TRK-006,TL,35500.0,3,275.6,1624.2,2762.1,406.05
SHP0038,CHICAGO_IL,Indianapolis,IN,4500,85,2023-10-02,2023-10-03,OPTIONAL,Midwest,1,Z1_C004,TRK-007,TL,14000.0,2,164.8,1502.98,990.0,751.49
SHP0039,CHICAGO_IL,Memphis,TN,8000,65,2023-10-02,2023-10-04,OPTIONAL,Southeast,7,Z7_C016,TRK-020,TL,13500.0,2,482.9,1783.78,2252.8,891.89
SHP0040,CHICAGO_IL,Los Angeles,CA,6000,85,2023-10-02,2023-10-06,OPTIONAL,Pacific,0,Z0_C000,TRK-002,TL,40500.0,3,1742.4,6443.3,3360.0,1610.82
