shipment_id,warehouse,dest_city,dest_state,weight_lbs,freight_class,pickup_date,delivery_due,mode,region,distance_miles,truck_id,assigned_mode,tl_cost,ltl_cost_ind,plan_cost,solver_status
SHP0014,CHICAGO_IL,Miami,FL,18000,70,2023-10-03,2023-10-08,MUST_TL,Southeast,1191.4,TRK-012,TL,4559.6,7365.6,1519.87,Optimal
SHP0015,CHICAGO_IL,Tampa,FL,11000,100,2023-10-03,2023-10-07,OPTIONAL,Southeast,1005.5,TRK-013,TL,3417.88,5324.0,1708.94,Optimal
SHP0016,CHICAGO_IL,Dallas,TX,22000,65,2023-10-02,2023-10-05,MUST_TL,South Central,804.7,TRK-010,TL,3596.3,8518.4,1198.77,Optimal
SHP0017,CHICAGO_IL,Houston,TX,16000,85,2023-10-02,2023-10-06,MUST_TL,South Central,941.9,TRK-011,TL,3744.82,7040.0,1872.41,Optimal
SHP0018,CHICAGO_IL,Austin,TX,7500,70,2023-10-02,2023-10-06,OPTIONAL,South Central,979.6,TRK-010,TL,3596.3,3069.0,1198.77,Optimal
SHP0019,CHICAGO_IL,San Antonio,TX,9000,85,2023-10-02,2023-10-06,OPTIONAL,South Central,1052.8,TRK-010,TL,3596.3,3960.0,1198.77,Optimal
SHP0020,CHICAGO_IL,Oklahoma City,OK,5000,85,2023-10-03,2023-10-05,OPTIONAL,South Central,692.5,TRK-011,TL,3744.82,1600.0,1872.41,Optimal
SHP0021,CHICAGO_IL,Denver,CO,8500,65,2023-10-02,2023-10-05,OPTIONAL,Mountain,918.3,LTL,LTL,0.0,3291.2,3291.2,LTL-fallback
SHP0022,CHICAGO_IL,Denver,CO,14000,70,2023-10-03,2023-10-06,OPTIONAL,Mountain,918.3,TRK-004,TL,5870.0,5728.8,1956.67,Optimal
SHP0023,CHICAGO_IL,Phoenix,AZ,19000,85,2023-10-02,2023-10-06,MUST_TL,Mountain,1451.8,TRK-004,TL,5870.0,10640.0,1956.67,Optimal
SHP0024,CHICAGO_IL,Las Vegas,NV,6500,100,2023-10-03,2023-10-07,OPTIONAL,Mountain,1521.3,TRK-004,TL,5870.0,4004.0,1956.67,Optimal
SHP0025,CHICAGO_IL,Los Angeles,CA,35000,50,2023-10-02,2023-10-06,MUST_TL,Pacific,1742.4,TRK-008,TL,5812.8,15680.0,2906.4,Optimal
SHP0026,CHICAGO_IL,Los Angeles,CA,9000,70,2023-10-03,2023-10-07,OPTIONAL,Pacific,1742.4,TRK-008,TL,5812.8,4687.2,2906.4,Optimal
SHP0027,CHICAGO_IL,San Francisco,CA,25000,65,2023-10-03,2023-10-07,MUST_TL,Pacific,1854.9,TRK-007,TL,8678.65,12320.0,2892.88,Optimal
SHP0028,CHICAGO_IL,Seattle,WA,28000,50,2023-10-02,2023-10-07,MUST_TL,Pacific,1733.0,TRK-009,TL,5782.25,12544.0,2891.12,Optimal
SHP0029,CHICAGO_IL,Seattle,WA,12000,85,2023-10-03,2023-10-08,OPTIONAL,Pacific,1733.0,TRK-009,TL,5782.25,6720.0,2891.12,Optimal
SHP0030,CHICAGO_IL,Portland,OR,10000,85,2023-10-03,2023-10-08,OPTIONAL,Pacific,1754.6,TRK-007,TL,8678.65,5600.0,2892.88,Optimal
SHP0031,CHICAGO_IL,Minneapolis,MN,11000,65,2023-10-02,2023-10-04,OPTIONAL,Midwest,354.6,TRK-002,TL,2949.55,3097.6,983.18,Optimal
SHP0032,CHICAGO_IL,Detroit,MI,7500,70,2023-10-02,2023-10-03,OPTIONAL,Midwest,237.0,TRK-001,TL,920.25,1534.5,460.12,Optimal
SHP0033,CHICAGO_IL,Detroit,MI,6000,85,2023-10-03,2023-10-04,OPTIONAL,Midwest,237.0,TRK-001,TL,920.25,1320.0,460.12,Optimal
SHP0034,CHICAGO_IL,Cleveland,OH,8500,65,2023-10-03,2023-10-04,OPTIONAL,Midwest,307.3,TRK-003,TL,3725.65,2393.6,1241.88,Optimal
SHP0035,CHICAGO_IL,St. Louis,MO,5500,70,2023-10-02,2023-10-03,OPTIONAL,Midwest,262.3,TRK-002,TL,2949.55,1125.3,983.18,Optimal
SHP0036,CHICAGO_IL,Kansas City,MO,6000,70,2023-10-02,2023-10-04,OPTIONAL,Midwest,412.4,TRK-003,TL,3725.65,1785.6,1241.88,Optimal
SHP0037,CHICAGO_IL,Columbus,OH,13500,70,2023-10-02,2023-10-04,OPTIONAL,Midwest,275.6,TRK-003,TL,3725.65,2762.1,1241.88,Optimal
SHP0038,CHICAGO_IL,Indianapolis,IN,4500,85,2023-10-02,2023-10-03,OPTIONAL,Midwest,164.8,TRK-002,TL,2949.55,990.0,983.18,Optimal
SHP0039,CHICAGO_IL,Memphis,TN,8000,65,2023-10-02,2023-10-04,OPTIONAL,Southeast,482.9,TRK-012,TL,4559.6,2252.8,1519.87,Optimal
SHP0040,CHICAGO_IL,Los Angeles,CA,6000,85,2023-10-02,2023-10-06,OPTIONAL,Pacific,1742.4,TRK-007,TL,8678.65,3360.0,2892.88,Optimal
